p_val	avg_logFC	pct.1	pct.2	p_val_adj
Cited1	5.41823936018956e-283	1.82700126676576	0.62	0.009	7.26640080595022e-279
Ffar4	3.7602845304181e-265	1.45439389306915	0.58	0.009	5.04291758374371e-261
Foxa1	8.97701912839816e-257	1.29691740887746	0.64	0.014	1.20390803530948e-252
Cldn6	2.25365030926042e-237	1.41850393672903	0.53	0.009	3.02237042974916e-233
Tspan1	5.13784864462692e-235	1.34131413295174	0.63	0.016	6.89036881730917e-231
Gipc2	2.34275067716949e-217	1.2726673202934	0.65	0.021	3.14186293315201e-213
Mum1l1	5.5480017653402e-210	1.71117360411208	0.57	0.015	7.44042516749774e-206
Prlr	9.75152987512855e-207	1.88564666549447	0.72	0.031	1.30777767155349e-202
Cxcl15	7.02966393548862e-178	0.800964851545658	0.33	0.003	9.42748230388378e-174
Pcp4	5.87174360058468e-169	1.79038276544697	0.38	0.006	7.87459534274411e-165
Scnn1a	7.25206938714225e-165	0.621950665100946	0.33	0.004	9.72575025509648e-161
Itih2	7.2351257432943e-164	0.798900702850733	0.34	0.004	9.70302713433199e-160
Vill	4.32962201660244e-162	1.01383877204269	0.52	0.019	5.80645608646553e-158
Tmem56	4.54750899188634e-156	1.09680379102776	0.49	0.017	6.09866430901877e-152
Msx2	1.78108460212884e-146	0.698043880208576	0.38	0.009	2.38861255991499e-142
Ggt1	1.73979353892823e-144	1.07173650312523	0.42	0.012	2.33323711505665e-140
Cxcl17	2.50748286900733e-142	0.658521411207327	0.3	0.004	3.36278527562573e-138
Fam25c	1.64823839613809e-141	1.14711896726944	0.44	0.014	2.21045251306079e-137
Rasgrf1	5.35901487535363e-133	0.650874607047677	0.34	0.008	7.18697484933675e-129
Lmo7	2.08668462620219e-132	1.39648090234078	0.62	0.042	2.79845275219975e-128
Podxl	1.41132911437239e-130	1.11348754887586	0.56	0.032	1.89273347528482e-126
AW112010	9.80064405920858e-126	2.0444321553494	0.8	0.08	1.31436437478046e-121
Krt19	1.94828744226692e-124	3.17810664805754	1	0.182	2.61284828882417e-120
Fgb	3.59410565944603e-124	1.1795469155067	0.27	0.004	4.82005509988307e-120
X2210407C18Rik	7.06386109258572e-124	1.49437443975479	0.38	0.012	9.47334411126671e-120
Plekhs1	6.1434510501498e-123	1.27595316729927	0.4	0.015	8.23898220335589e-119
Muc13	1.0351135913497e-121	1.23516853744825	0.35	0.01	1.38819083735908e-117
Ptn	1.75023191745831e-120	0.732743938219116	0.28	0.005	2.34723602450334e-116
Fgfr2	6.36401489453213e-120	1.22359961080486	0.58	0.04	8.53478037505703e-116
Fgg	5.57847484424352e-116	1.38465256780304	0.39	0.015	7.48129261361499e-112
Stc2	1.43433531461042e-106	1.08038921332501	0.49	0.031	1.92358709042404e-102
Capsl	4.91803908421006e-104	0.559824029135162	0.31	0.009	6.59558221583412e-100
Mtmr7	1.01952697684694e-96	0.794544862861331	0.35	0.015	1.36728762864943e-92
Tnip3	1.61876352380412e-92	1.4748732774111	0.54	0.047	2.1709237617737e-88
Wfdc2	1.76182526220332e-91	1.93621713237464	0.9	0.166	2.36278385914087e-87
Mboat1	7.93827602457703e-91	1.19435625056749	0.62	0.066	1.06460219765603e-86
Pgr	7.6004965473234e-89	0.567093839666524	0.29	0.01	1.01930259196154e-84
Cdo1	1.052157262032e-86	0.626478799654711	0.35	0.018	1.41104810411111e-82
Myh14	8.41106513762868e-86	1.19601017527642	0.59	0.064	1.12800794560738e-81
Bik	8.13762791806235e-85	0.701304029830819	0.36	0.02	1.09133728009134e-80
Tmem30b	1.02010412978381e-83	0.7220587411362	0.4	0.026	1.36806164845307e-79
Tacstd2	3.36571362914503e-79	1.51528641647388	0.78	0.129	4.51375854804639e-75
