p_val	avg_logFC	pct.1	pct.2	p_val_adj
Wfdc2	1.1528615386432e-142	2.01709207810524	0.759	0.139	1.54610260947439e-138
Hmga2	1.65708046401947e-141	1.28845424687175	0.611	0.078	2.22231061029652e-137
Msln	7.65793377762117e-136	1.36799295531098	0.377	0.022	1.02700549891678e-131
Col18a1	2.06148142160024e-126	1.84009825811544	0.887	0.265	2.76465273450808e-122
Itga3	2.4124055841795e-124	1.58510843157091	0.747	0.155	3.23527712894313e-120
Wnt7b	1.25727903055189e-120	1.27667869412251	0.669	0.124	1.68613690787314e-116
Ccnd1	2.00145048429245e-113	1.61441467993023	0.77	0.2	2.68414524448461e-109
Stmn2	6.74852403571085e-112	1.35726845487154	0.284	0.013	9.05044558429182e-108
Dynap	1.16448465927957e-107	1.31538317589703	0.58	0.093	1.56169037655984e-103
Lamc2	1.84098725135208e-101	2.24082651062678	0.767	0.222	2.46894800278828e-97
Cpe	5.73337601599946e-97	1.3118482436945	0.813	0.25	7.68903057505688e-93
Sncg	9.06946973481754e-92	1.4774366699447	0.455	0.068	1.21630658613638e-87
Arhgap22	6.28631817221337e-91	0.833992886648247	0.444	0.063	8.43058130075535e-87
Itgb4	7.38839778369989e-88	1.1370372251953	0.735	0.197	9.90858026771992e-84
S100a6	7.24462583681334e-87	1.35416727475805	0.996	0.737	9.71576770975037e-83
Atg9b	2.68063025843047e-86	0.808142024756703	0.502	0.085	3.5949932395811e-82
Klk8	2.10818236299306e-85	1.41959953092573	0.619	0.139	2.82728336701e-81
Perp	1.14504353281494e-83	0.880712434215067	0.809	0.24	1.53561788185811e-79
X2200002D01Rik	1.30809761888189e-82	0.924036525368733	0.634	0.156	1.7542897166825e-78
Lamb3	5.14604664943893e-80	1.40245150458306	0.689	0.189	6.90136316156255e-76
Nt5e	1.81617204602185e-77	1.0873336709248	0.521	0.11	2.43566833091991e-73
Gjb3	2.4398821548948e-77	0.862211003808468	0.545	0.114	3.27212595792941e-73
Krt18	1.38171877441192e-76	0.968436962618227	0.938	0.391	1.85302304836383e-72
Cdkn2a	9.96184678247973e-75	0.774175030037101	0.405	0.065	1.33598327199836e-70
Tnnt2	1.46641213728451e-73	0.749757945348668	0.401	0.064	1.96660531731225e-69
Epha2	2.96797878420616e-72	1.06321153758314	0.751	0.262	3.98035634749888e-68
Itpr3	2.64810960033825e-71	0.933382151274226	0.693	0.212	3.55137978501363e-67
Lgals1	5.5367075731067e-70	1.24650771359227	0.969	0.656	7.42527852629339e-66
Padi4	5.91298811687961e-69	0.779216815353728	0.342	0.048	7.92990836354725e-65
Lama3	7.9651640157612e-69	1.36316679349102	0.514	0.112	1.06820814615374e-64
Anxa8	1.64828326367488e-67	0.744904783732626	0.525	0.117	2.21051268491438e-63
Nes	8.52681120776904e-67	1.07102399660586	0.65	0.209	1.14353065107391e-62
Upp1	2.41475959446101e-65	0.507376303929738	0.459	0.09	3.23843409213166e-61
Cd151	1.29928978708545e-64	1.04641912354993	0.708	0.264	1.7424775334603e-60
Pthlh	4.55257032172945e-64	0.989950176167018	0.455	0.096	6.10545205847137e-60
Acpp	3.71422235971389e-63	0.65364498334794	0.268	0.031	4.9811436066123e-59
Crip2	9.82486848699926e-63	1.07630944334006	0.84	0.408	1.31761311279147e-58
Krt8	1.65029029083215e-60	0.791934740058867	0.875	0.338	2.213204309035e-56
S100a10	7.54408439220538e-59	0.915854414685355	0.934	0.698	1.01173715783866e-54
Anxa2	2.64281953146918e-57	0.797994228643354	0.961	0.718	3.54428527365332e-53
Tmem40	1.30387688811387e-56	0.851348369513868	0.412	0.087	1.74862929464951e-52
Gdpd5	6.33013323576155e-56	0.556303225498925	0.366	0.07	8.48934168247981e-52
Csf2	2.19419015285482e-55	0.989399982007311	0.3	0.046	2.9426284139936e-51
Tnc	2.73666840648657e-55	1.19974089886086	0.84	0.398	3.67014599993914e-51
Trp53i11	1.06810688687115e-54	0.747912556588617	0.506	0.137	1.4324381459829e-50
Ano1	7.40564732755265e-54	0.827546894190005	0.56	0.167	9.93171363098086e-50
Slco2a1	9.47841592755762e-54	0.809685556915306	0.525	0.149	1.27115036004475e-49
Htra1	8.77058159914581e-53	1.17524574828212	0.708	0.289	1.17622269826144e-48
Bmp2	4.98941258760211e-52	0.939516787461236	0.288	0.046	6.69130122123319e-48
Ecm1	1.761805092109e-51	0.909895832492741	0.852	0.501	2.36275680902738e-47
Acot7	4.67119752539429e-51	0.98372170588249	0.65	0.259	6.26454300130628e-47
Gsto1	1.05299227005296e-50	1.09473630274648	0.774	0.397	1.41216793336803e-46
Aplp2	2.06214113056271e-50	1.11376096759635	0.798	0.488	2.76553747019765e-46
Fam84a	3.65180844418033e-50	0.676085432614473	0.327	0.062	4.89744030449024e-46
Mtap	2.33034305872598e-49	0.757847548096601	0.424	0.106	3.12522307605742e-45
Ctsd	8.13379490176708e-49	0.855722933226052	0.926	0.776	1.09082323427598e-44
Areg	1.05538889502596e-48	0.891912604175607	0.669	0.253	1.41538204711932e-44
Sox9	5.42738119727145e-48	0.921861519315777	0.681	0.288	7.27866092366074e-44
Thumpd3	6.43485202645256e-48	0.716020666823778	0.409	0.099	8.62978005267553e-44
Ccng1	6.75803761595988e-48	0.913174600319792	0.611	0.241	9.06320424676379e-44
Clu	6.8020021577803e-48	1.28740563301408	0.704	0.291	9.12216509379916e-44
Timp1	1.41106482112533e-47	1.08990890783806	0.844	0.429	1.89237903161118e-43
Ctnnal1	2.22019656250667e-47	0.506415012141226	0.346	0.072	2.9775056099777e-43
Phlda3	1.76777242471492e-46	0.55395409518316	0.37	0.085	2.37075959878517e-42
Sema3f	7.3228045643967e-46	0.694354060778095	0.346	0.075	9.82061320131241e-42
Klk6	8.72031138784294e-46	1.13548892183818	0.335	0.071	1.16948096022362e-41
Fn1	1.83779810534225e-45	1.16747099917246	0.883	0.515	2.46467103907449e-41
Fermt1	7.60973498535409e-45	0.738862342381668	0.381	0.093	1.02054155888584e-40
Nradd	1.57486822268643e-44	0.632227315768981	0.467	0.14	2.11205577344477e-40
Sox11	2.40465523747209e-44	0.663805498411478	0.331	0.071	3.22488313897382e-40
Serpinb2	1.22459243446277e-43	0.614326340842976	0.358	0.08	1.64230091385803e-39
Msn	1.48993660933157e-42	0.790370292933814	0.875	0.614	1.99815398677457e-38
Anxa3	2.82012836936967e-42	0.795471767882597	0.732	0.376	3.78207415616167e-38
Bnc1	3.87163551745599e-42	0.34665364644141	0.311	0.062	5.19225039246023e-38
Ezr	6.15016817354807e-42	0.752477539101905	0.821	0.464	8.24799053754532e-38
Serpinb6a	1.00612298459389e-41	0.782433216316353	0.802	0.427	1.34931153463887e-37
Cd44	1.70285472622042e-41	0.836645721114169	0.907	0.732	2.28369847333421e-37
Ywhag	2.18862574268836e-41	0.764507676922559	0.778	0.51	2.93516598351936e-37
Jam2	1.61710843561911e-40	0.498881843122132	0.257	0.046	2.16870412300879e-36
Txn1	1.72657024017906e-40	0.717975237438305	0.895	0.666	2.31550334910413e-36
Hspb1	2.39007867214119e-40	0.731774355917631	0.794	0.368	3.20533450720855e-36
Rasa4	3.72168241258369e-40	0.451722892928221	0.389	0.098	4.99114828351599e-36
Actn1	7.16634075222419e-40	0.823490994667765	0.794	0.485	9.61077958280786e-36
Tm4sf1	8.61225519291963e-40	0.697173463417585	0.829	0.433	1.15498954392245e-35
Pfdn1	9.74280843344542e-40	0.742256506142186	0.619	0.265	1.30660803900937e-35
Lmo1	1.21581066366165e-39	0.552310841221463	0.292	0.059	1.63052368103664e-35
Cd9	6.88867565898635e-39	0.748001860927968	0.891	0.665	9.2384029262666e-35
Ak1	7.3088921535454e-39	0.687177288091473	0.763	0.389	9.80195526711973e-35
Myl12a	7.96873403958007e-39	0.667209683179814	0.961	0.801	1.06868692204808e-34
F11r	4.35347745989159e-38	0.56567617100177	0.623	0.237	5.83844862146061e-34
Serinc2	5.90650651400406e-38	0.624783273996094	0.537	0.193	7.92121588593085e-34
Psrc1	7.03287569327277e-38	0.552742107405524	0.339	0.084	9.43178959224812e-34
Flna	1.51691548935226e-37	0.761423708545316	0.868	0.653	2.03433536277032e-33
Rps27l	1.85495884361788e-37	0.750595781030575	0.833	0.557	2.48768530517594e-33
Pkm	2.48446751856464e-37	0.644122964346658	0.961	0.786	3.33191938914705e-33
Sdc1	3.14403179451933e-37	0.826015145164987	0.809	0.48	4.21646103962987e-33
Lsr	5.33680381741875e-37	0.743778738829728	0.576	0.22	7.15718759954028e-33
Myof	9.02690247364032e-37	0.751917251762984	0.65	0.326	1.2105978907399e-32
Ngf	1.23162348154577e-36	0.698951542557678	0.479	0.161	1.65173025110103e-32
Gprc5a	2.1879624537245e-36	0.510076254221715	0.412	0.122	2.93427644668993e-32
Kcnn4	3.47622978558755e-36	0.699599488260005	0.626	0.262	4.66197176545147e-32
Slc4a11	3.84806182297689e-36	0.553020113105681	0.432	0.134	5.1606357107943e-32
Fam83a	5.37649116742516e-36	0.417091367490879	0.28	0.061	7.21041230463388e-32
Tspo	5.48117876410959e-36	0.712463650693684	0.802	0.498	7.35080884054737e-32
Ly6e	5.64656911338462e-36	0.613648003755725	0.942	0.783	7.57261383796011e-32
Cav1	1.21262654970243e-35	0.618482561022249	0.444	0.143	1.62625346580593e-31
Gja1	2.52495803287771e-35	0.727507496501244	0.696	0.35	3.3862212178923e-31
Osbpl3	3.1302191573523e-35	0.362108513058373	0.323	0.08	4.19793691192518e-31
Capg	5.04364036325104e-35	0.778741022174738	0.778	0.448	6.76402609115597e-31
Cdc34	5.32966453409915e-35	0.685000235428284	0.685	0.35	7.14761310668037e-31
Ppp1r14b	9.27266515581652e-35	0.750972294766719	0.72	0.388	1.24355712404655e-30
Polk	9.46581203435465e-35	0.354150144891662	0.311	0.076	1.2694600519273e-30
Tnfrsf12a	2.39533990808041e-34	0.618579111325002	0.887	0.636	3.21239035072664e-30
Pkp1	2.56198774599875e-34	0.454751331401898	0.459	0.149	3.43588176615892e-30
Adarb1	3.80728014850897e-34	0.445798619440162	0.331	0.086	5.10594340716539e-30
Krt7	5.209338511745e-34	1.07394595247149	0.611	0.277	6.98624387810122e-30
Lmna	5.22779858349506e-34	0.617226718653748	0.942	0.801	7.01100068032522e-30
Plin2	2.7616493833308e-33	0.672721469268832	0.755	0.426	3.70364798798494e-29
Ercc1	4.85373433140467e-33	0.813725610114595	0.475	0.176	6.50934311184681e-29
C77080	5.72172312731152e-33	0.632009331597699	0.502	0.194	7.67340288603748e-29
Lama5	6.44155438507856e-33	0.448771253273253	0.568	0.214	8.63876858582885e-29
Fbxw9	7.03544239215663e-33	0.48546853764494	0.494	0.18	9.43523179212126e-29
Rtn4	1.00226186754847e-32	0.647758933651977	0.864	0.673	1.34413339056926e-28
Card10	2.19816703492311e-32	0.361835122260778	0.377	0.111	2.94796181053538e-28
F2rl1	2.84992077557393e-32	0.627210064233381	0.315	0.086	3.8220287521222e-28
Rnf149	5.68744551074606e-32	-1.46664281232884	0.233	0.563	7.62743317446154e-28
Gt.ROSA.26Sor	6.79999023448615e-32	0.922365749938656	0.467	0.169	9.11946690346938e-28
Itgb1	6.86370640042937e-32	0.757946807707019	0.879	0.68	9.20491665361583e-28
Tnfrsf10b	7.44871968894291e-32	0.431274652023541	0.354	0.105	9.98947797484134e-28
Tpm1	8.6521362139618e-32	0.729961956476432	0.825	0.533	1.16033798765442e-27
Clcf1	2.81135268114791e-31	0.482799510944263	0.455	0.159	3.77030508068746e-27
Fhl2	2.97349699571024e-31	0.53260129773669	0.553	0.232	3.987756820947e-27
Fbln2	4.27162563572136e-31	0.633244085062308	0.844	0.454	5.72867714006592e-27
Lad1	4.52982815817589e-31	0.503920192191356	0.529	0.2	6.07495254292968e-27
Dsp	1.12180306999571e-30	0.325529972183984	0.568	0.214	1.50445009717124e-26
Cnih4	1.56553086883666e-30	0.604906551051419	0.576	0.266	2.09953344819684e-26
Rgs12	1.66048030096432e-30	0.508088222770004	0.401	0.133	2.22687013162325e-26
Ppap2c	1.85314497343589e-30	0.497773047084857	0.576	0.234	2.48525272387487e-26
Fads3	2.01389340892107e-30	0.574862201671018	0.576	0.26	2.70083245070404e-26
Cd81	1.27083751249507e-29	0.631344432379107	0.852	0.678	1.70432018800714e-25
Dgka	1.32570919397437e-29	0.429571640430649	0.545	0.232	1.77790860003903e-25
Plp2	1.28511200994641e-28	0.45372649018214	0.374	0.124	1.72346371653914e-24
Cib1	2.89454357782318e-28	0.519713590620024	0.455	0.174	3.88187239221867e-24
Trappc4	3.46633428656572e-28	0.585407636060284	0.584	0.281	4.64870091171329e-24
Pfn1	4.25910566385145e-28	0.715328025024076	0.911	0.749	5.71188660579118e-24
Spint2	4.88603877992878e-28	0.453599940126739	0.716	0.311	6.55266660776249e-24
Fblim1	1.57074476629551e-27	0.515577568768533	0.556	0.248	2.10652580607891e-23
Plxnb2	2.11088868965819e-27	0.633797146062481	0.619	0.308	2.8309128217006e-23
Carhsp1	3.31531660776788e-27	0.607554643674407	0.576	0.279	4.44617110267751e-23
Aldh2	6.13207438599251e-27	0.611087014399274	0.537	0.245	8.22372495905456e-23
Ptprk	6.47939867175733e-27	0.417345016329636	0.42	0.156	8.68952155869376e-23
Cttn	1.33693942919903e-26	0.539907988836019	0.642	0.339	1.79296946849881e-22
Prdx1	1.61391282646407e-26	0.510909291861804	0.875	0.686	2.16441849157096e-22
Cep170b	2.02704519628617e-26	0.56744762844383	0.56	0.257	2.71847031273939e-22
Emp3	2.16394953066046e-26	0.822235417128091	0.673	0.381	2.90207271556874e-22
Endod1	2.57073533247367e-26	0.326810370336278	0.393	0.14	3.44761315438044e-22
