p_val	avg_logFC	pct.1	pct.2	p_val_adj
Lcn2	0	3.23185629996984	0.99	0.309	0
Igfbp5	0	2.65960414594102	0.842	0.114	0
Trf	1.38028288570894e-261	2.82125579559402	0.966	0.367	1.85109737802426e-257
Csn3	2.44988511727885e-259	3.33563783344339	0.929	0.325	3.28554093078267e-255
Col9a1	3.16327967952885e-259	1.73685212450732	0.56	0.031	4.24227437821615e-255
Epcam	9.95171941273808e-241	1.70792108536078	0.939	0.27	1.3346250904423e-236
Wfdc18	6.19655482813314e-238	2.70513643606893	0.699	0.101	8.31019968000935e-234
Col9a2	9.54515116247974e-237	1.3229247567829	0.533	0.032	1.28010022240016e-232
Fxyd3	3.5583509702527e-232	1.50153409927685	0.895	0.207	4.77210448620589e-228
Chil1	8.90297225327949e-226	2.25892427995199	0.64	0.076	1.19397760888731e-221
Cldn3	4.97986650633399e-219	1.38997576846647	0.762	0.13	6.67849897164451e-215
Aldoc	9.19498946762321e-210	1.72414354389077	0.586	0.066	1.23314003750295e-205
Krt8	1.68174199784235e-197	1.55029526705553	0.931	0.28	2.25538419330637e-193
Clca3a2	3.97203565316518e-194	1.35810852604256	0.61	0.076	5.32689701445983e-190
Spint2	3.64772813427574e-192	1.33719343176974	0.877	0.245	4.89196820087719e-188
Tm4sf1	4.24725492085845e-191	1.82642035289812	0.919	0.38	5.69599357436327e-187
Atp6v1c2	3.0660057773357e-189	1.01160066171091	0.451	0.03	4.11182034798491e-185
Cldn7	5.55121838331685e-187	1.0218167979416	0.547	0.06	7.44473897386623e-183
Tspan8	7.49105168436491e-185	1.04675144470818	0.448	0.03	1.00462494139018e-180
Sox10	5.36014583445115e-182	1.08282781193337	0.527	0.055	7.18849157858244e-178
Krt18	2.25927730678631e-181	1.37935742042808	0.96	0.337	3.02991679613112e-177
Plet1	9.73779582456353e-181	1.89777294272845	0.889	0.308	1.30593579803222e-176
Cp	6.87028068643044e-179	1.63508024101151	0.689	0.146	9.21373342857187e-175
Emid1	4.03844343175739e-175	1.03892655824869	0.444	0.034	5.41595648632984e-171
Col9a3	9.7598884251413e-171	0.997600376795722	0.499	0.053	1.3088986366957e-166
Krt19	1.2025816188e-162	0.796704553709919	0.671	0.122	1.61278220897268e-158
Spp1	3.51223336934546e-157	1.91598641511244	0.947	0.628	4.7102561716292e-153
Cdh1	4.66044836640772e-155	1.14739079991587	0.774	0.207	6.2501273041894e-151
Plekhb1	4.06842091175026e-151	0.926694165633509	0.438	0.046	5.45615928474828e-147
Atp1b1	2.77918462728938e-147	0.959626652350774	0.453	0.052	3.72716450365779e-143
Irx1	8.87802906396597e-145	1.22858754775355	0.636	0.147	1.19063247776848e-140
Car2	2.40777189648857e-144	1.16093922394516	0.586	0.108	3.22906289038082e-140
Eps8l2	3.10735322939574e-142	0.989329094482204	0.578	0.111	4.16727141594263e-138
Cdc42ep3	3.14964737911577e-142	0.946336504273192	0.515	0.082	4.22399210013215e-138
Mfge8	3.29994007296552e-140	1.53045725634775	0.897	0.57	4.42554963185406e-136
Hhipl2	4.0130751741584e-140	0.695797945472255	0.337	0.021	5.38193511606383e-136
Nfib	2.19564255425433e-136	1.03045683524706	0.628	0.148	2.94457622951048e-132
Smoc1	3.76894657329232e-131	0.789734852958671	0.335	0.025	5.05453424944233e-127
Mgst1	2.07046382004108e-130	1.25449148020089	0.756	0.281	2.7766990290571e-126
Irx2	4.01950323807041e-127	1.12238776355912	0.677	0.199	5.39055579257623e-123
Ehf	1.74633679149837e-125	0.850663107187592	0.404	0.049	2.34201227107846e-121
Actn4	2.5160779796826e-124	1.04143781967315	0.899	0.577	3.37431217855234e-120
Mia	1.48125724743313e-123	0.987712453573454	0.388	0.045	1.98651409453258e-119
Clu	2.71335207859906e-123	0.783243857658137	0.782	0.239	3.6388764726092e-119
Galnt3	2.85422632912826e-122	0.868580729407156	0.453	0.07	3.82780292999391e-118
Folr1	3.26419668661499e-120	0.863005299520984	0.301	0.021	4.37761417641937e-116
Wnt5b	8.53644189227985e-119	0.788325578981103	0.347	0.035	1.14482222217365e-114
Cebpd	1.64016143191039e-118	1.41131375965727	0.657	0.201	2.19962049633502e-114
Foxc1	8.46421274690874e-116	0.868634058255644	0.455	0.076	1.13513557148793e-111
St14	1.71233261141816e-115	0.87047372731609	0.592	0.14	2.29640926517289e-111
Lbp	4.06967429420294e-115	0.895129379010521	0.636	0.172	5.45784019595556e-111
Pkp3	4.20045707993443e-114	0.795260760542705	0.642	0.163	5.63323298990006e-110
Ceacam1	2.79354732632834e-110	0.658222365699535	0.283	0.02	3.74642631933894e-106
